_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00015005_TRAVELGURU,TRAVELGURU,29.99079,78.18737,HARIDWAR,249410,--None--
00015033_TRAVELGURU,TRAVELGURU,23.103523,72.59622,AHMEDABAD,380001,--None--
00015036_TRAVELGURU,TRAVELGURU,22.472342,78.43676,PACHMARHI,461881,--None--
00015001_TRAVELGURU,TRAVELGURU,30.660227,76.81881,ZIRAKPUR,160017,--None--
00015046_TRAVELGURU,TRAVELGURU,18.526636,73.88085,PUNE,411001,--None--
00015052_TRAVELGURU,TRAVELGURU,28.42787,77.11119,GURGAON,122003,--None--
00015043_TRAVELGURU,TRAVELGURU,28.548115,77.12655,NEW DELHI,110076,--None--
00015059_TRAVELGURU,TRAVELGURU,22.472878,78.43378,PACHMARHI,461881,--None--
00015040_TRAVELGURU,TRAVELGURU,9.606203,77.16726,THEKKADY,685509,UP Tourism
00015068_TRAVELGURU,TRAVELGURU,28.434338,77.1079,GURGAON,122001,--None--
00015072_TRAVELGURU,TRAVELGURU,9.575919,76.97593,KUTTIKKANAM,685531,--None--
00015076_TRAVELGURU,TRAVELGURU,30.213152,74.944374,Bhatinda,150012,--None--
00015093_TRAVELGURU,TRAVELGURU,23.039568,72.566,AHMEDABAD,380001,--None--
00015087_TRAVELGURU,TRAVELGURU,18.516802,73.84367,PUNE,411004,--None--
00015082_TRAVELGURU,TRAVELGURU,18.555536,73.95366,PUNE,411014,--None--
00015064_TRAVELGURU,TRAVELGURU,9.60451,77.17094,THEKKADY,685536,--None--
00015113_TRAVELGURU,TRAVELGURU,23.027788,72.59639,AHMEDABAD,380001,--None--
00015099_TRAVELGURU,TRAVELGURU,19.308605,84.79201,BERHAMPUR,760001,--None--
00015104_TRAVELGURU,TRAVELGURU,22.587297,88.426125,KOLKATA,700091,--None--
00015108_TRAVELGURU,TRAVELGURU,22.575785,88.41215,KOLKATA,700097,--None--
00015117_TRAVELGURU,TRAVELGURU,24.852098,79.92784,KHAJURAHO,471606,--None--
00015121_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015129_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015126_TRAVELGURU,TRAVELGURU,13.019483,77.70787,BANGALORE,560049,--None--
00015130_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015131_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015134_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015135_TRAVELGURU,TRAVELGURU,25.367693,78.6328,ORCHHA,472246,--None--
00015137_TRAVELGURU,TRAVELGURU,25.349884,78.64064,ORCHHA,472246,--None--
00015136_TRAVELGURU,TRAVELGURU,25.401463,78.64591,ORCHHA,472246,--None--
